,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
16,,,,,,,,,,,,,,,,,,,,-51.3677,-50.331333,-49.70959,-49.23825,-48.853153,-48.52642,-48.2429,-47.993256,-47.771297,-47.572613,-47.393974,-47.23292,-47.08753,-46.9563,-46.837994,-46.73161,-46.636326,-46.55145,-46.47642,-46.410767,-46.354084,-46.306053,-46.266407,-46.234932,-46.211464,-46.19589,-46.188118,-46.188118,-46.19589,-46.211464,-46.234932,-46.266407,-46.306053,-46.354084,-46.410767,-46.47642,-46.55145,-46.636326,-46.73161,-46.837994,-46.9563,-47.08753,-47.23292,-47.393974,-47.572613,-47.771297,-47.993256,-48.2429,-48.52642,-48.853153,-49.23825,-49.70959,-50.331333,-51.3677,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,-49.014496,-48.202084,-47.657207,-47.231323,-46.877953,-46.575127,-46.31042,-46.07597,-45.866417,-45.677975,-45.50778,-45.353645,-45.213863,-45.087055,-44.972126,-44.868156,-44.774384,-44.69018,-44.615017,-44.54845,-44.490105,-44.439667,-44.39688,-44.36153,-44.333447,-44.312496,-44.298584,-44.29164,-44.29164,-44.298584,-44.312496,-44.333447,-44.36153,-44.39688,-44.439667,-44.490105,-44.54845,-44.615017,-44.69018,-44.774384,-44.868156,-44.972126,-45.087055,-45.213863,-45.353645,-45.50778,-45.677975,-45.866417,-46.07597,-46.31042,-46.575127,-46.877953,-47.231323,-47.657207,-48.202084,-49.014496,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,-46.937572,-46.23443,-45.739193,-45.34533,-45.015278,-44.730576,-44.48043,-44.257915,-44.058277,-43.878063,-43.714725,-43.56626,-43.431103,-43.307995,-43.1959,-43.093987,-43.00154,-42.917973,-42.842785,-42.775547,-42.715916,-42.663586,-42.6183,-42.57985,-42.548054,-42.52278,-42.50392,-42.49139,-42.485138,-42.485138,-42.49139,-42.50392,-42.52278,-42.548054,-42.57985,-42.6183,-42.663586,-42.715916,-42.775547,-42.842785,-42.917973,-43.00154,-43.093987,-43.1959,-43.307995,-43.431103,-43.56626,-43.714725,-43.878063,-44.058277,-44.257915,-44.48043,-44.730576,-45.015278,-45.34533,-45.739193,-46.23443,-46.937572,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,-45.03027,-44.390236,-43.92869,-43.558044,-43.24564,-42.97496,-42.73632,-42.523384,-42.331787,-42.15835,-42.000687,-41.85696,-41.725704,-41.605736,-41.496094,-41.39597,-41.304718,-41.22177,-41.14665,-41.07895,-41.018326,-40.964497,-40.91721,-40.87625,-40.84145,-40.812656,-40.78976,-40.772663,-40.761303,-40.755634,-40.755634,-40.761303,-40.772663,-40.78976,-40.812656,-40.84145,-40.87625,-40.91721,-40.964497,-41.018326,-41.07895,-41.14665,-41.22177,-41.304718,-41.39597,-41.496094,-41.605736,-41.725704,-41.85696,-42.000687,-42.15835,-42.331787,-42.523384,-42.73632,-42.97496,-43.24564,-43.558044,-43.92869,-44.390236,-45.03027,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,-43.24826,-42.645508,-42.207027,-41.853386,-41.55443,-41.29479,-41.065346,-40.860203,-40.675236,-40.507442,-40.354572,-40.214863,-40.08695,-39.969704,-39.862206,-39.763702,-39.673542,-39.591206,-39.51623,-39.44823,-39.38687,-39.33186,-39.282967,-39.239975,-39.202717,-39.171036,-39.14481,-39.123947,-39.108368,-39.09801,-39.092842,-39.092842,-39.09801,-39.108368,-39.123947,-39.14481,-39.171036,-39.202717,-39.239975,-39.282967,-39.33186,-39.38687,-39.44823,-39.51623,-39.591206,-39.673542,-39.763702,-39.862206,-39.969704,-40.08695,-40.214863,-40.354572,-40.507442,-40.675236,-40.860203,-41.065346,-41.29479,-41.55443,-41.853386,-42.207027,-42.645508,-43.24826,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,-41.567135,-40.983868,-40.560513,-40.219154,-39.930428,-39.679455,-39.457455,-39.258694,-39.079243,-38.916206,-38.767414,-38.631184,-38.506172,-38.391327,-38.285748,-38.188705,-38.099586,-38.017864,-37.943115,-37.87495,-37.813046,-37.757126,-37.706947,-37.66231,-37.623035,-37.588974,-37.559998,-37.536003,-37.516907,-37.50264,-37.493156,-37.488426,-37.488426,-37.493156,-37.50264,-37.516907,-37.536003,-37.559998,-37.588974,-37.623035,-37.66231,-37.706947,-37.757126,-37.813046,-37.87495,-37.943115,-38.017864,-38.099586,-38.188705,-38.285748,-38.391327,-38.506172,-38.631184,-38.767414,-38.916206,-39.079243,-39.258694,-39.457455,-39.679455,-39.930428,-40.219154,-40.560513,-40.983868,-41.567135,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,-39.972733,-39.393566,-38.978863,-38.645878,-38.36475,-38.12054,-37.90451,-37.711025,-37.536182,-37.37719,-37.23191,-37.0987,-36.97627,-36.863552,-36.75971,-36.66402,-36.57589,-36.494812,-36.420345,-36.35214,-36.289867,-36.233257,-36.18207,-36.1361,-36.09518,-36.059155,-36.027893,-36.00129,-35.979248,-35.961704,-35.948593,-35.939877,-35.935528,-35.935528,-35.939877,-35.948593,-35.961704,-35.979248,-36.00129,-36.027893,-36.059155,-36.09518,-36.1361,-36.18207,-36.233257,-36.289867,-36.35214,-36.420345,-36.494812,-36.57589,-36.66402,-36.75971,-36.863552,-36.97627,-37.0987,-37.23191,-37.37719,-37.536182,-37.711025,-37.90451,-38.12054,-38.36475,-38.645878,-38.978863,-39.393566,-39.972733,,,,,,,,,,,,,
23,,,,,,,,,,,,,-38.458008,-37.866264,-37.454056,-37.126053,-36.85023,-36.611145,-36.39986,-36.210693,-36.03974,-35.884186,-35.74195,-35.6114,-35.491257,-35.38048,-35.27823,-35.183815,-35.09664,-35.016216,-34.942112,-34.873966,-34.811474,-34.754364,-34.702396,-34.655373,-34.613113,-34.57547,-34.542313,-34.51353,-34.489025,-34.468716,-34.452545,-34.44046,-34.432426,-34.428413,-34.428413,-34.432426,-34.44046,-34.452545,-34.468716,-34.489025,-34.51353,-34.542313,-34.57547,-34.613113,-34.655373,-34.702396,-34.754364,-34.811474,-34.873966,-34.942112,-35.016216,-35.09664,-35.183815,-35.27823,-35.38048,-35.491257,-35.6114,-35.74195,-35.884186,-36.03974,-36.210693,-36.39986,-36.611145,-36.85023,-37.126053,-37.454056,-37.866264,-38.458008,,,,,,,,,,,,
24,,,,,,,,,,,,-37.024353,-36.39625,-35.979984,-35.653595,-35.381016,-35.14557,-34.937954,-34.752277,-34.584564,-34.431973,-34.292377,-34.16418,-34.046093,-33.937088,-33.83633,-33.743114,-33.656883,-33.577133,-33.503452,-33.435474,-33.372894,-33.315445,-33.2629,-33.21505,-33.171722,-33.13276,-33.098038,-33.06744,-33.040867,-33.018234,-32.999474,-32.98453,-32.973366,-32.96594,-32.962227,-32.962227,-32.96594,-32.973366,-32.98453,-32.999474,-33.018234,-33.040867,-33.06744,-33.098038,-33.13276,-33.171722,-33.21505,-33.2629,-33.315445,-33.372894,-33.435474,-33.503452,-33.577133,-33.656883,-33.743114,-33.83633,-33.937088,-34.046093,-34.16418,-34.292377,-34.431973,-34.584564,-34.752277,-34.937954,-35.14557,-35.381016,-35.653595,-35.979984,-36.39625,-37.024353,,,,,,,,,,,
25,,,,,,,,,,,-35.693176,-34.98052,-34.552055,-34.223682,-33.95223,-33.71907,-33.51411,-33.331184,-33.16614,-33.016068,-32.8788,-32.752686,-32.636463,-32.529087,-32.429726,-32.337685,-32.252377,-32.173332,-32.10013,-32.032406,-31.969864,-31.912228,-31.859278,-31.810806,-31.766638,-31.72662,-31.690615,-31.658514,-31.630213,-31.605627,-31.584682,-31.567316,-31.553484,-31.543142,-31.536263,-31.532827,-31.532827,-31.536263,-31.543142,-31.553484,-31.567316,-31.584682,-31.605627,-31.630213,-31.658514,-31.690615,-31.72662,-31.766638,-31.810806,-31.859278,-31.912228,-31.969864,-32.032406,-32.10013,-32.173332,-32.252377,-32.337685,-32.429726,-32.529087,-32.636463,-32.752686,-32.8788,-33.016068,-33.16614,-33.331184,-33.51411,-33.71907,-33.95223,-34.223682,-34.552055,-34.98052,-35.693176,,,,,,,,,,
