,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
16,,,,,,,,,,,,,,,,,,,,-114.69633,-106.256226,-100.97647,-96.80175,-93.239204,-90.07669,-87.19982,-84.5384,-82.04628,-79.690445,-77.446686,-75.29653,-73.2253,-71.22165,-69.27581,-67.37975,-65.52666,-63.710506,-61.92642,-60.169678,-58.436188,-56.72221,-55.02417,-53.339127,-51.66391,-49.995625,-48.33146,-46.66854,-45.004375,-43.33609,-41.660873,-39.97583,-38.27779,-36.563812,-34.830322,-33.07358,-31.289492,-29.47334,-27.620247,-25.724192,-23.778347,-21.774693,-19.70347,-17.553316,-15.309557,-12.953718,-10.461602,-7.800178,-4.9233093,-1.7607965,1.8017492,5.976471,11.2562275,19.69633,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,-112.40766,-105.51575,-100.70794,-96.79612,-93.41274,-90.385506,-87.61763,-85.04825,-82.63597,-80.351685,-78.17324,-76.08373,-74.06981,-72.12051,-70.22721,-68.38229,-66.5794,-64.81301,-63.078197,-61.370953,-59.68732,-58.023827,-56.377293,-54.744637,-53.123337,-51.51063,-49.903996,-48.300972,-46.699028,-45.096004,-43.48937,-41.876663,-40.255363,-38.622707,-36.976173,-35.31268,-33.629047,-31.921803,-30.186989,-28.420605,-26.617704,-24.77279,-22.879496,-20.930191,-18.916265,-16.826761,-14.648317,-12.364028,-9.951748,-7.382371,-4.614494,-1.5872607,1.7961172,5.707936,10.515748,17.407663,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,-111.49531,-105.307274,-100.78235,-97.04268,-93.78184,-90.85055,-88.162025,-85.66098,-83.3095,-81.080086,-78.95257,-76.91091,-74.94252,-73.03718,-71.18631,-69.3831,-67.62136,-65.89587,-64.20205,-62.535736,-60.893562,-59.27212,-57.668423,-56.0797,-54.503246,-52.936863,-51.378113,-49.82475,-48.2746,-46.7254,-45.17525,-43.621887,-42.063137,-40.496754,-38.9203,-37.331577,-35.72788,-34.106438,-32.464264,-30.797949,-29.104132,-27.378637,-25.616898,-23.813688,-21.96282,-20.05748,-18.08909,-16.047432,-13.919914,-11.690497,-9.339018,-6.837972,-4.149454,-1.2181588,2.0426795,5.782352,10.307275,16.495308,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,-111.29814,-105.47066,-101.11438,-97.48454,-94.30617,-91.44121,-88.809364,-86.358315,-84.05212,-81.86472,-79.776375,-77.77218,-75.839874,-73.96961,-72.153275,-70.38389,-68.65589,-66.96412,-65.30416,-63.672134,-62.064445,-60.478207,-58.910435,-57.358498,-55.81996,-54.292408,-52.773903,-51.262253,-49.75545,-48.251534,-46.748466,-45.24455,-43.737747,-42.226097,-40.707592,-39.18004,-37.641502,-36.089565,-34.521793,-32.935555,-31.327866,-29.69584,-28.035883,-26.344107,-24.61611,-22.846722,-21.030386,-19.160128,-17.227818,-15.223622,-13.135276,-10.9478855,-8.641688,-6.1906385,-3.558796,-0.6938356,2.4845412,6.114379,10.470656,16.29814,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,-111.58975,-105.9223,-101.65418,-98.08747,-94.95966,-92.138054,-89.544304,-87.12823,-84.854645,-82.69815,-80.63961,-78.66402,-76.759834,-74.917305,-73.12846,-71.38664,-69.68601,-68.02192,-66.389946,-64.78631,-63.207634,-61.65077,-60.113194,-58.592262,-57.08563,-55.59111,-54.106537,-52.630173,-51.160034,-49.694294,-48.23118,-46.76882,-45.305706,-43.839966,-42.369827,-40.893463,-39.40889,-37.91437,-36.407738,-34.886806,-33.34923,-31.792366,-30.213692,-28.610054,-26.978079,-25.313986,-23.613356,-21.871532,-20.082697,-18.240166,-16.335985,-14.36039,-12.30185,-10.145356,-7.8717694,-5.455695,-2.861948,-0.04033337,3.0874696,6.6541815,10.922305,16.58975,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,-112.27433,-106.61774,-102.37253,-98.83027,-95.72645,-92.9281,-90.35716,-87.963,-85.71111,-83.57606,-81.5388,-79.58458,-77.7015,-75.88033,-74.11304,-72.39301,-70.71462,-69.0729,-67.46386,-65.88367,-64.32901,-62.796913,-61.284573,-59.78976,-58.31009,-56.84346,-55.387886,-53.941395,-52.502426,-51.069153,-49.639908,-48.213074,-46.786926,-45.360092,-43.930847,-42.497574,-41.058605,-39.612114,-38.15654,-36.68991,-35.21024,-33.715427,-32.203087,-30.67099,-29.11633,-27.536137,-25.927101,-24.285376,-22.606987,-20.88696,-19.119667,-17.298496,-15.415423,-13.4612,-11.423943,-9.288887,-7.037005,-4.6428366,-2.0718977,0.72644764,3.8302681,7.372525,11.617741,17.274328,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,-113.32418,-107.53522,-103.25394,-99.700714,-96.59686,-93.8039,-91.2415,-88.858055,-86.61794,-84.49587,-82.472435,-80.53272,-78.664925,-76.85933,-75.10831,-73.40509,-71.74407,-70.12041,-68.52977,-66.968704,-65.43382,-63.922173,-62.43111,-60.958115,-59.501183,-58.05815,-56.6271,-55.20623,-53.79372,-52.388153,-50.987835,-49.591244,-48.19687,-46.80313,-45.408756,-44.012165,-42.611847,-41.20628,-39.79377,-38.3729,-36.94185,-35.498817,-34.041885,-32.56889,-31.07783,-29.566181,-28.031294,-26.470232,-24.879595,-23.255928,-21.594908,-19.891697,-18.140673,-16.335075,-14.467278,-12.527568,-10.504125,-8.382055,-6.141942,-3.758499,-1.1960945,1.5968628,4.7007146,8.253934,12.53522,18.324184,,,,,,,,,,,,,
23,,,,,,,,,,,,,-114.76564,-108.672066,-104.292046,-100.69347,-97.566055,-94.76143,-92.194275,-89.81058,-87.5735,-85.45643,-83.439926,-81.508575,-79.65033,-77.85544,-76.11577,-74.42487,-72.776955,-71.16714,-69.591194,-68.0453,-66.526436,-65.03153,-63.557964,-62.103336,-60.66535,-59.24221,-57.831917,-56.43272,-55.042953,-53.66094,-52.28537,-50.914684,-49.547455,-48.18229,-46.81771,-45.452545,-44.085316,-42.71463,-41.33906,-39.957047,-38.56728,-37.168083,-35.75779,-34.33465,-32.896664,-31.442036,-29.968468,-28.473566,-26.954695,-25.408808,-23.832865,-22.223045,-20.575123,-18.884232,-17.144558,-15.34967,-13.491422,-11.560074,-9.54357,-7.426502,-5.1894245,-2.8057249,-0.2385694,2.566055,5.6934667,9.292047,13.672069,19.765642,,,,,,,,,,,,
24,,,,,,,,,,,,-116.70583,-110.04295,-105.49017,-101.80799,-98.63332,-95.79958,-93.21452,-90.820015,-88.57705,-86.45783,-84.44158,-82.512794,-80.65886,-78.86975,-77.13726,-75.45441,-73.81567,-72.21596,-70.65099,-69.11704,-67.61069,-66.1292,-64.66984,-63.230213,-61.808136,-60.4015,-59.008667,-57.627792,-56.25725,-54.89551,-53.540997,-52.192505,-50.848576,-49.50788,-48.169113,-46.830887,-45.49212,-44.151424,-42.807495,-41.459003,-40.10449,-38.74275,-37.372208,-35.991333,-34.5985,-33.191864,-31.769787,-30.330158,-28.870798,-27.389317,-25.882956,-24.349003,-22.784044,-21.184334,-19.545593,-17.86274,-16.130245,-14.341141,-12.4872055,-10.558419,-8.54217,-6.4229493,-4.179981,-1.7854784,0.7995842,3.6333237,6.8079944,10.490177,15.04295,21.705835,,,,,,,,,,,
25,,,,,,,,,,,-119.47365,-111.68571,-106.860695,-103.049904,-99.800896,-96.9201,-94.30326,-91.88723,-89.6296,-87.50067,-85.4786,-83.5466,-81.69194,-79.904045,-78.17439,-76.495926,-74.86256,-73.26948,-71.71217,-70.18684,-68.6901,-67.218895,-65.77076,-64.34318,-62.93397,-61.54113,-60.162704,-58.797188,-57.442863,-56.098225,-54.761837,-53.432224,-52.108273,-50.788605,-49.471973,-48.157158,-46.842842,-45.528027,-44.211395,-42.891727,-41.567776,-40.238163,-38.901775,-37.557137,-36.202812,-34.837296,-33.45887,-32.06603,-30.65682,-29.229244,-27.781109,-26.309896,-24.813168,-23.287828,-21.730524,-20.13744,-18.504076,-16.825603,-15.095954,-13.308057,-11.453399,-9.5213995,-7.499328,-5.370403,-3.112773,-0.69673836,1.9200964,4.800894,8.0499,11.860699,16.685705,24.473648,,,,,,,,,,
